Index,S1,S2,S3,S4,S5,S6,S7,S8,S9
205,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
206,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
207,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5
连贯性: 5
同理心: 5
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
208,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
209,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
210,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
211,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5
连贯性: 5
同理心: 5
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
212,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
213,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
214,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 4  
连贯性: 5  
同理心: 5  
指导性: 4","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
215,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
216,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
217,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 4  
连贯性: 5  
同理心: 5  
指导性: 4","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
218,"帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5
连贯性: 5
同理心: 5
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5","帮助性: 5  
连贯性: 5  
同理心: 5  
指导性: 5",,,
