Index,S1,S2,S3,S4,S5,S6,S7,S8,S9
205,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
206,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
207,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
208,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
209,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
210,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
211,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
212,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
213,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
214,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
215,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
216,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
217,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
218,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
219,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
220,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
221,"Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5","Helpfulness: 5  
Coherence: 5  
Empathy: 5  
Guidance: 5",,,
